f [Hz]  Z [Ohm] 
 (3.00000e+03+0.00000e+00j)  (7.64697e-01+1.11546e-01j)
 (3.10000e+03+0.00000e+00j)  (7.66893e-01+1.10090e-01j)
 (3.20000e+03+0.00000e+00j)  (7.68978e-01+1.08688e-01j)
 (3.30000e+03+0.00000e+00j)  (7.70960e-01+1.07334e-01j)
 (3.40000e+03+0.00000e+00j)  (7.72846e-01+1.06028e-01j)
 (3.50000e+03+0.00000e+00j)  (7.74643e-01+1.04767e-01j)
 (3.60000e+03+0.00000e+00j)  (7.76356e-01+1.03548e-01j)
 (3.70000e+03+0.00000e+00j)  (7.77992e-01+1.02370e-01j)
 (3.80000e+03+0.00000e+00j)  (7.79554e-01+1.01230e-01j)
 (3.90000e+03+0.00000e+00j)  (7.81049e-01+1.00128e-01j)
 (4.00000e+03+0.00000e+00j)  (7.82480e-01+9.90610e-02j)
 (4.10000e+03+0.00000e+00j)  (7.83850e-01+9.80280e-02j)
 (4.20000e+03+0.00000e+00j)  (7.85164e-01+9.70274e-02j)
 (4.30000e+03+0.00000e+00j)  (7.86424e-01+9.60580e-02j)
 (4.40000e+03+0.00000e+00j)  (7.87634e-01+9.51184e-02j)
 (4.50000e+03+0.00000e+00j)  (7.88796e-01+9.42075e-02j)
 (4.60000e+03+0.00000e+00j)  (7.89913e-01+9.33242e-02j)
 (4.70000e+03+0.00000e+00j)  (7.90988e-01+9.24673e-02j)
 (4.80000e+03+0.00000e+00j)  (7.92023e-01+9.16359e-02j)
 (4.90000e+03+0.00000e+00j)  (7.93019e-01+9.08291e-02j)
 (5.00000e+03+0.00000e+00j)  (7.93979e-01+9.00458e-02j)
 (5.10000e+03+0.00000e+00j)  (7.94904e-01+8.92854e-02j)
 (5.20000e+03+0.00000e+00j)  (7.95797e-01+8.85470e-02j)
 (5.30000e+03+0.00000e+00j)  (7.96658e-01+8.78298e-02j)
 (5.40000e+03+0.00000e+00j)  (7.97490e-01+8.71331e-02j)
 (5.50000e+03+0.00000e+00j)  (7.98293e-01+8.64562e-02j)
 (5.60000e+03+0.00000e+00j)  (7.99069e-01+8.57984e-02j)
 (5.70000e+03+0.00000e+00j)  (7.99819e-01+8.51592e-02j)
 (5.80000e+03+0.00000e+00j)  (8.00545e-01+8.45379e-02j)
 (5.90000e+03+0.00000e+00j)  (8.01248e-01+8.39339e-02j)
 (6.00000e+03+0.00000e+00j)  (8.01927e-01+8.33468e-02j)
 (6.10000e+03+0.00000e+00j)  (8.02586e-01+8.27759e-02j)
 (6.20000e+03+0.00000e+00j)  (8.03223e-01+8.22208e-02j)
 (6.30000e+03+0.00000e+00j)  (8.03841e-01+8.16810e-02j)
 (6.40000e+03+0.00000e+00j)  (8.04440e-01+8.11560e-02j)
 (6.50000e+03+0.00000e+00j)  (8.05021e-01+8.06455e-02j)
 (6.60000e+03+0.00000e+00j)  (8.05585e-01+8.01489e-02j)
 (6.70000e+03+0.00000e+00j)  (8.06131e-01+7.96660e-02j)
 (6.80000e+03+0.00000e+00j)  (8.06662e-01+7.91962e-02j)
 (6.90000e+03+0.00000e+00j)  (8.07178e-01+7.87393e-02j)
 (7.00000e+03+0.00000e+00j)  (8.07678e-01+7.82948e-02j)
 (7.10000e+03+0.00000e+00j)  (8.08165e-01+7.78624e-02j)
 (7.20000e+03+0.00000e+00j)  (8.08637e-01+7.74419e-02j)
 (7.30000e+03+0.00000e+00j)  (8.09097e-01+7.70328e-02j)
 (7.40000e+03+0.00000e+00j)  (8.09544e-01+7.66349e-02j)
 (7.50000e+03+0.00000e+00j)  (8.09979e-01+7.62478e-02j)
 (7.60000e+03+0.00000e+00j)  (8.10402e-01+7.58714e-02j)
 (7.70000e+03+0.00000e+00j)  (8.10813e-01+7.55052e-02j)
 (7.80000e+03+0.00000e+00j)  (8.11214e-01+7.51492e-02j)
 (7.90000e+03+0.00000e+00j)  (8.11604e-01+7.48029e-02j)
 (8.00000e+03+0.00000e+00j)  (8.11984e-01+7.44661e-02j)
 (8.10000e+03+0.00000e+00j)  (8.12354e-01+7.41386e-02j)
 (8.20000e+03+0.00000e+00j)  (8.12715e-01+7.38203e-02j)
 (8.30000e+03+0.00000e+00j)  (8.13067e-01+7.35108e-02j)
 (8.40000e+03+0.00000e+00j)  (8.13410e-01+7.32099e-02j)
 (8.50000e+03+0.00000e+00j)  (8.13744e-01+7.29174e-02j)
 (8.60000e+03+0.00000e+00j)  (8.14071e-01+7.26332e-02j)
 (8.70000e+03+0.00000e+00j)  (8.14389e-01+7.23570e-02j)
 (8.80000e+03+0.00000e+00j)  (8.14699e-01+7.20886e-02j)
 (8.90000e+03+0.00000e+00j)  (8.15002e-01+7.18279e-02j)
 (9.00000e+03+0.00000e+00j)  (8.15298e-01+7.15747e-02j)
 (9.10000e+03+0.00000e+00j)  (8.15587e-01+7.13288e-02j)
 (9.20000e+03+0.00000e+00j)  (8.15870e-01+7.10900e-02j)
 (9.30000e+03+0.00000e+00j)  (8.16145e-01+7.08582e-02j)
 (9.40000e+03+0.00000e+00j)  (8.16415e-01+7.06333e-02j)
 (9.50000e+03+0.00000e+00j)  (8.16678e-01+7.04150e-02j)
 (9.60000e+03+0.00000e+00j)  (8.16936e-01+7.02032e-02j)
